ID,Release Group,Runtime ,Metascore,Rated,Year,Genre 1,Genre 2,Genre 3,Sequel
836,Scream,1h 54m,60,14A,2022,Horror,Mystery,,TRUE
837,Death on the Nile,2h 7m,52,PG,2022,Crime,Drama,Mystery,FALSE
838,Suzume,2h 2m,77,PG,2022,Drama,,,FALSE
839,A Man Called Otto,2h 6m,51,PG,2022,Comedy,Drama,,FALSE
840,"Lyle, Lyle, Crocodile",1h 46m,51,G,2022,Animation,Adventure,Family,FALSE
841,Halloween Ends,1h 51m,47,18A,2022,Horror,Thriller,,FALSE
842,The Roundup,1h 46m,,14A,2022,Drama,Western,,TRUE
843,The Woman King,2h 15m,76,PG,2022,Drama,History,,FALSE
844,Downton Abbey: A New Era,2h 4m,63,G,2022,Drama,Romance,,TRUE
845,K.G.F: Chapter 2,2h 46m,,14A,2022,Action,Drama,,TRUE
846,Don't Worry Darling,2h 3m,48,14A,2022,Drama,Mystery,Thriller,FALSE
847,Dragon Ball Super: Super Hero,1h 40m,65,PG,2022,Animation,Action,Thriller,TRUE
848,Dog,1h 41m,61,PG,2022,Comedy,Drama,,FALSE
849,Jackass Forever,1h 36m,74,18A,2022,Documentary,Action,Comedy,TRUE
850,The Menu,1h 47m,71,14A,2022,Thriller,,,FALSE
851,Chebi: My Fluffy Friend,1h 53m,,,2022,Animation,Family,,FALSE
602,Spider-Man: No Way Home,2h 28m,71,PG,2021,Action,Adventure,Fantasy,TRUE
603,The Battle at Lake Changjin,2h 56m,,14A,2021,War,Drama,,FALSE
604,"Hi, Mom",2h 8m,,,2021,Comedy,Drama,Fantasy,FALSE
605,No Time to Die,2h 43m,68,PG,2021,Action,Adventure,Thriller,TRUE
606,F9: The Fast Saga,2h 23m,58,PG,2021,Action,Adventure,Crime,TRUE
607,Detective Chinatown 3,2h 16m,,PG,2021,Comedy,Mystery,,TRUE
608,Venom: Let There Be Carnage,1h 37m,49,PG,2021,Action,Adventure,Science-Fiction,TRUE
609,Godzilla vs. Kong,1h 53m,59,PG,2021,Action,Science-Fiction,Thriller,TRUE
610,Shang-Chi and the Legend of the Ten Rings,2h 12m,71,PG,2021,Action,Adventure,Fantasy,TRUE
611,Sing 2,1h 50m,49,G,2021,Animation,Comedy,Family,TRUE
612,Eternals,2h 36m,52,PG,2021,Action,Adventure,Drama,FALSE
613,Dune,2h 35m,74,PG,2021,Adventure,Drama,Science-Fiction,FALSE
614,Black Widow,2h 14m,68,PG,2021,Action,Adventure,Science-Fiction,TRUE
615,Free Guy,1h 55m,62,PG,2021,Action,Adventure,Comedy,FALSE
616,A Quiet Place Part II,1h 37m,71,14A,2021,Drama,Horror,Science-Fiction,TRUE
617,Encanto,1h 42m,75,G,2021,Animation,Adventure,Comedy,FALSE
618,Cruella,2h 14m,59,PG,2021,Crime,Comedy,Drama,TRUE
619,"My Country, My Parents",2h 37m,,14A,2021,Drama,,,FALSE
620,Jungle Cruise,2h7m,,PG,2021,Action,Adventure,Comedy,FALSE
621,The Conjuring: The Devil Made Me Do It,1h52m,53,14A,2021,Horror,Mystery,Thriller,TRUE
622,Raging Fire,2h 6m,72,14A,2021,Action,Crime,Thriller,TRUE
623,Ghostbusters: Afterlife,2h 4m,45,PG,2021,Action,Comedy,Fantasy,TRUE
624,Chinese Doctors,2h 9m,,PG,2021,Drama,,,FALSE
625,Cliff Walkers,2h,,14A,2021,Drama,Romance,,FALSE
626,The Suicide Squad,2h 12m,72,14A,2021,Action,Adventure,Comedy,TRUE
627,Jujutsu Kaisen 0,1h 45m,71,PG,2021,Animation,Action,Fantasy,FALSE
628,Space Jam: A New Legacy,1h 55m,36,PG,2021,Animation,Adventure,Comedy,TRUE
629,The Matrix Resurrections,2h 28m,63,PG,2021,Action,Science-Fiction,,TRUE
630,Peter Rabbit 2: The Runaway,1h 33m,43,G,2021,Animation,Adventure,Comedy,TRUE
631,House of Gucci,2h 38m,59,G,2021,Crime,Drama,Thriller,FALSE
632,A Writer's Odyssey,2h 10m,,14A,2021,Action,Adventure,Fantasy,FALSE
633,The Boss Baby 2: Family Business,1h 47m,39,G,2021,Animation,Adventure,Comedy,TRUE
634,PAW Patrol: The Movie,1h 26m,50,G,2021,Animation,Action,Thriller,TRUE
635,Tom & Jerry,1h 41m,32,PG,2021,Animation,Adventure,Comedy,TRUE
636,Be Somebody,2h 3m,,,2021,Drama,Music,,FALSE
637,Halloween Kills,1h 45m,42,18A,2021,Horror,Thriller,,FALSE
638,Raya and the Last Dragon,1h 47m,74,PG,2021,Animation,Action,Adventure,FALSE
639,Sister,,,,2021,Drama,,,FALSE
640,The King's Man,2h 11m,44,14A,2021,Action,Adventure,Comedy,FALSE
641,The Addams Family 2,1h 33m,37,PG,2021,Animation,Adventure,Comedy,TRUE
642,My Love,1h 55m,,PG,2021,Drama,Romance,,FALSE
643,Clifford the Big Red Dog,1h 36m,55,G,2021,Adventure,Comedy,Family,TRUE
644,Wrath of Man,1h 59m,57,14A,2021,Action,Crime,Thriller,FALSE
645,Detective Conan: The Scarlet Bullet,1h 50m,,,2021,Animation,Action,Mystery,TRUE
646,Evangelion: 3.0+1.01 Thrice Upon a Time,2h 34m,85,PG,2021,Animation,Action,Drama,FALSE
647,End Game,1h 59m,,14A,2021,Action,Science-Fiction,Thriller,TRUE
648,Old,1h 48m,55,14A,2021,Mystery,Thriller,,FALSE
649,Mortal Kombat,1h 50m,44,14A,2021,Action,Adventure,Fantasy,TRUE
650,Boonie Bears: The Wild Life,1h 39m,,,2021,Animation,Adventure,Comedy,FALSE
651,Candyman,1h 31m,72,14A,2021,Horror,Mystery,Thriller,FALSE
402,The Eight Hundred,2h 29m,64,14A,2020,War,Drama,,FALSE
403,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,1h 57m,72,14A,2020,Animation,Action,Fantasy,FALSE
404,Bad Boys for Life,2h 4m,59,14A,2020,Action,Comedy,Crime,TRUE
405,"My People, My Homeland",2h 33m,,PG,2020,Comedy,Drama,,FALSE
406,Tenet,2h 30m,69,PG,2020,Action,Science-Fiction,Thriller,FALSE
407,Sonic the Hedgehog,1h 39m,47,PG,2020,Action,Adventure,Comedy,TRUE
408,Dolittle,1h 41m,26,PG,2020,Adventure,Comedy,Family,TRUE
409,Jiang Ziya,1h 50m,,PG,2020,Animation,Adventure,Fantasy,FALSE
410,A Little Red Flower,2h 2m,,,2020,Drama,,,FALSE
411,The Croods: A New Age,1h 35m,56,G,2020,Animation,Adventure,Comedy,TRUE
412,Birds of Prey,1h 49m,60,14A,2020,Action,Adventure,Crime,FALSE
413,Shock Wave 2,2h,,14A,2020,Action,Crime,Thriller,TRUE
414,Wonder Woman 1984,2h 31m,60,PG,2020,Action,Adventure,Fantasy,TRUE
415,The Sacrifice,,,,2020,Drama,War,,FALSE
416,The Invisible Man,2h 4m,72,14A,2020,Horror,Mystery,Science-Fiction,FALSE
417,Onward,1h 42m,61,G,2020,Animation,Adventure,Comedy,FALSE
418,Warm Hug,1h 52m,,,2020,Romance,Drama,,FALSE
419,Soul,1h 40m,83,G,2020,Animation,Adventure,Comedy,FALSE
420,The Call of the Wild,1h 40m,48,PG,2020,Adventure,Drama,Family,FALSE
421,Mamma Mia! 2020 Re-release,,,,2020,Comedy,Musical,Romance,TRUE
422,Caught in Time,1h 35m,,,2020,Action,Crime,Drama,FALSE
423,Mulan,1h 55m,66,PG,2020,Action,Adventure,Drama,TRUE
424,The Yin-Yang Master: Dream of Eternity,2h 12m,,PG-13,2020,Action,Drama,Fantasy,FALSE
425,Stand by Me Doraemon 2,1h 36m,,,2020,Animation,Adventure,Comedy,TRUE
426,The Rescue,2h 19m,,PG,2020,Action,Drama,Thriller,FALSE
427,Love You Forever,1h 55m,,,2020,Drama,Romance,,FALSE
428,Greenland,1h 59m,64,13+,2020,Action,Drama,Thriller,FALSE
429,Tolo Tolo,1h 30m,,,2020,Comedy,,,FALSE
430,Vanguard,1h 47m,34,14A,2020,Action,Adventure,Comedy,FALSE
431,Fantasy Island,1h 49m,22,14A,2020,Adventure,Fantasy,Horror,FALSE
432,Trolls World Tour,1h 31m,51,G,2020,Animation,Adventure,Comedy,TRUE
433,The New Mutants,1h 34m,43,14A,2020,Action,Horror,Science-Fiction,FALSE
434,After We Collided,1h45m,14,14A,2020,Drama,Romance,,FALSE
435,"From Today, It's My Turn: The Movie",1h 54m,,,2020,Comedy,Drama,,FALSE
436,Tanhaji: The Unsung Warrior,2h 15m,,14A,2020,Action,Biography,Drama,FALSE
437,Unhinged,1h 30m,40,14A,2020,Action,Thriller,,FALSE
438,The End of Endless Love,1h 42m,,,2020,Drama,Romance,,FALSE
439,The War with Grandpa,1h 34m,34,G,2020,Comedy,Drama,Family,FALSE
440,Peninsula,1h 56m,51,14A,2020,Action,Horror,Thriller,FALSE
441,Monster Hunter,1h 43m,47,14A,2020,Action,Adventure,Fantasy,FALSE
442,Underwater,1h 35m,48,14A,2020,Action,Horror,Science-Fiction,FALSE
443,Bloodshot,1h 49m,44,14A,2020,Action,Drama,Science-Fiction,FALSE
444,Sarileru Neekevvaru,2h49,,PG,2020,Action,Comedy,,FALSE
445,The Untold Tale of the Three Kingdoms,1h 53m,,,2020,Action,Drama,History,FALSE
446,The Confidence Man JP: Princess,2h 4m,,,2020,Comedy,Crime,Drama,FALSE
447,The Man Standing Next,1h 54m,,14A,2020,Drama,Thriller,,FALSE
448,My Mom is a Character 3,1h 51m,,,2020,Comedy,,,TRUE
449,Doraemon the Movie: Nobita's New Dinosaur,1h 50m,,,2020,Animation,Adventure,Comedy,FALSE
450,Deliver Us from Evil,1h 48m,,,2020,Action,Crime,Thriller,TRUE
451,Harry Potter and the Sorcerer's Stone 2020 Re-release,,,,2020,Fantasy,Adventure,Family,TRUE
202,Avengers: Endgame,3h 1m,78,PG,2019,Action,Adventure,Drama,TRUE
203,The Lion King,1h 58m,55,PG,2019,Animation,Adventure,Drama,TRUE
204,Frozen II,1h 43m,64,G,2019,Animation,Adventure,Comedy,TRUE
205,Spider-Man: Far from Home,2h 9m,69,PG,2019,Action,Adventure,Science-Fiction,TRUE
206,Captain Marvel,2h 3m,64,PG,2019,Action,Adventure,Science-Fiction,TRUE
207,Joker,2h 2m,59,14A,2019,Crime,Drama,Thriller,TRUE
208,Star Wars: Episode IX - The Rise of Skywalker,2h 21m,53,PG,2019,Action,Adventure,Fantasy,TRUE
209,Toy Story 4,1h 40m,84,G,2019,Animation,Adventure,Comedy,TRUE
210,Aladdin,2h 8m,,PG,2019,Adventure,Family,Fantasy,TRUE
211,Jumanji: The Next Level,2h3m,58,PG,2019,Action,Adventure,Comedy,TRUE
212,Fast & Furious Presents: Hobbs & Shaw,2h 17m,60,PG,2019,Action,Adventure,Thriller,TRUE
213,Ne Zha,1h 50m,54,PG,2019,Animation,Action,Adventure,FALSE
214,The Wandering Earth,2h 5m,,PG,2019,Action,Drama,Science-Fiction,FALSE
215,How to Train Your Dragon: The Hidden World,1h 44m,71,PG,2019,Animation,Action,Adventure,TRUE
216,Maleficent: Mistress of Evil,1h 59m,43,PG,2019,Adventure,Family,Fantasy,TRUE
217,It Chapter Two,2h 49m,58,14A,2019,Horror,,,TRUE
218,"My People, My Country",2h 34m,,PG,2019,Comedy,Drama,,FALSE
219,Pokémon: Detective Pikachu,1h 44m,53,PG,2019,Action,Adventure,Comedy,TRUE
220,The Secret Life of Pets 2,1h 26m,55,G,2019,Animation,Adventure,Comedy,TRUE
221,The Captain,1h 51m,,PG,2019,Drama,History,Thriller,FALSE
222,Alita: Battle Angel,2h 2m,53,PG,2019,Action,Adventure,Science-Fiction,FALSE
223,Godzilla: King of the Monsters,2h 12m,48,PG,2019,Action,Adventure,Fantasy,TRUE
224,1917,1h 59m,78,14A,2019,Drama,War,,FALSE
225,Once Upon a Time... in Hollywood,2h 41m,84,14A,2019,Comedy,Drama,,FALSE
226,Shazam!,2h 12m,71,PG,2019,Action,Adventure,Comedy,FALSE
227,Dumbo,1h 52m,51,PG,2019,Adventure,Family,Fantasy,TRUE
228,John Wick: Chapter 3 - Parabellum,2h 10m,73,14A,2019,Action,Crime,Thriller,TRUE
229,Crazy Alien,1h 56m,,,2019,Comedy,Science-Fiction,,FALSE
230,Knives Out,2h 10m,82,PG,2019,Comedy,Crime,Drama,FALSE
231,Terminator: Dark Fate,2h 8m,54,14A,2019,Action,Adventure,Science-Fiction,TRUE
232,Parasite,2h 12m,97,14A,2019,Comedy,Drama,Thriller,FALSE
233,Us,1h 56m,81,14A,2019,Horror,Mystery,Thriller,FALSE
234,Pegasus,1h 38m,,PG,2019,Comedy,Drama,,FALSE
235,Men in Black: International,1h 54m,38,PG,2019,Action,Adventure,Comedy,TRUE
236,Dark Phoenix,1h 53m,43,PG,2019,Action,Adventure,Science-Fiction,TRUE
237,Glass,2h 9m,43,PG,2019,Drama,Science-Fiction,Thriller,TRUE
238,The Bravest,1h 58m,,PG,2019,Action,Drama,,FALSE
239,Annabelle Comes Home,1h 46m,,14A,2019,Horror,Mystery,Thriller,TRUE
240,Better Days,2h 15m,83,PG,2019,Crime,Drama,Romance,FALSE
241,Ford v Ferrari,2h 32m,81,PG,2019,Action,Biography,Drama,FALSE
242,Little Women,2h 15m,91,PG,2019,Drama,Romance,,TRUE
243,The Addams Family,1h 26m,46,PG,2019,Animation,Comedy,Family,TRUE
244,Rocketman,2h 1m,69,PG,2019,Biography,Drama,Music,FALSE
245,Downton Abbey,2h 2m,64,PG,2019,Drama,Romance,,TRUE
246,Weathering with You,1h 52m,72,PG,2019,Animation,Drama,Fantasy,FALSE
247,The Lego Movie 2: The Second Part,1h 47m,65,G,2019,Animation,Action,Adventure,TRUE
248,Sheep Without a Shepherd,1h 52m,73,PG,2019,Crime,Drama,Thriller,FALSE
249,The White Storm 2: Drug Lords,1h 39m,,14A,2019,Action,Crime,Drama,TRUE
250,Abominable,1h37m,61,PG,2019,Animation,Adventure,Comedy,FALSE
301,Ip Man 4: The Finale,1h 47m,62,PG,2019,Action,Biography,Drama,TRUE
2,Avengers: Infinity War,2h 29m,68,PG,2018,Action,Adventure,Science-Fiction,TRUE
3,Black Panther,2h 14m,88,PG,2018,Action,Adventure,Science-Fiction,TRUE
4,Jurassic World: Fallen Kingdom,2h 8m,51,PG,2018,Action,Adventure,Science-Fiction,TRUE
5,Incredibles 2,1h 58m,80,PG,2018,Animation,Action,Adventure,TRUE
6,Aquaman,2h 23m,55,PG,2018,Action,Adventure,Fantasy,FALSE
7,Bohemian Rhapsody,2h 14m,49,PG,2018,Biography,Drama,Music,FALSE
8,Venom,1h 52m,35,PG,2018,Action,Adventure,Science-Fiction,TRUE
9,Mission: Impossible - Fallout,2h 27m,87,PG,2018,Action,Adventure,Thriller,TRUE
10,Deadpool 2,1h 59m,66,14A,2018,Action,Adventure,Comedy,TRUE
11,Fantastic Beasts: The Crimes of Grindelwald,2h 14m,52,PG,2018,Adventure,Family,Fantasy,TRUE
12,Ant-Man and the Wasp,1h 58m,70,PG,2018,Action,Adventure,Comedy,FALSE
13,Ready Player One,2h 20m,64,PG,2018,Action,Adventure,Science-Fiction,FALSE
14,Operation Red Sea,2h 22m,,18A,2018,Action,Drama,Thriller,FALSE
15,Detective Chinatown 2,2h 1m,48,PG,2018,Action,Comedy,Mystery,TRUE
16,Ralph Breaks the Internet,1h 52m,71,G,2018,Animation,Adventure,Comedy,TRUE
17,The Meg,1h 53m,46,PG,2018,Action,Horror,Thriller,FALSE
18,Hotel Transylvania 3: Summer Vacation,1h 37m,54,G,2018,Animation,Adventure,Comedy,TRUE
19,The Grinch,1h 25m,51,G,2018,Animation,Comedy,Family,TRUE
20,Bumblebee,1h 54m,66,PG,2018,Action,Adventure,Science-Fiction,FALSE
21,Dying to Survive,1h 57m,63,PG,2018,Comedy,Drama,,FALSE
22,A Star Is Born,2h 16m,88,G,2018,Drama,Music,Romance,TRUE
23,Rampage,1h 47m,45,G,2018,Action,Adventure,Science-Fiction,FALSE
